## Thanks to the guys at 
## https://www.gtplanet.net/forum/threads/dirt-rally-2-0-locations.384999/
## for the list of stages
# Format of this file 
# id,length,"location","stage",lengh_in_game_in_km
# Max 4 fractions for length!! 
#
###############################################
### Rallycross locations:
0,1000,"Country","Stage"
150,16205.19,"Finland","Kakaristo",16.20km
151,16205.26,"Finland","Pitkajarvi",16.20km
152,8042.5205,"Finland","Iso Oksajarvi",8.04km
153,8057.53,"Finland","Oksala",8.10km
154,8147.42,"Finland","Jarvenkyla",8.05km
155,8147.5605,"Finland","Kotajarvi",8.10km
### Season 4:
156,1064.623,"South Africa","Killarney",1.06km
157,1348.854,"Britain","Lydden Hill",1.40km
### Flat out pack
#######################################
# Perth and Kinross, Scotland
158,12583.410,"Scotland","South Morningside",12.58km
159,12670.590,"Scotland","South Morningside Reverse",12.66km
160,5822.770,"Scotland","Old Butterstone Muir",5.82km
161,5659.8203,"Scotland","Old Butterstone Muir Reverse",5.66km
162,7144.6997,"Scotland","Rosebank Farm",7.16km
163,6967.900,"Scotland","Rosebank Farm Reverse",6.96km
164,12857.070,"Scotland","Newhouse Bridge",12.86km
165,12969.211,"Scotland","Newhouse Bridge Reverse",12.98km
166,5245.450,"Scotland","Glencastle Farm",5.25km
167,5238.440,"Scotland","Glencastle Farm Reverse",5.24km
168,7703.720,"Scotland","Annbank Station",7.77km
169,7587.640,"Scotland","Annbank Station Reverse",7.59km
#######################################
# Free roam
200,3601.23,"USA","Dirt Fish",3.6km
